"CLUSTER","kh9","kh10","kh11","kh12","kh13","kh14","kh15","kh16"
"c01",0.706316733922899,0.744548553275522,0.762829226410234,0.77002361123036,0.769889585300936,0.763152743195673,0.745340602730317,0.707727826908217
"c02",0.586913506139154,0.660331514324693,0.702024693042292,0.714731787175989,0.709770804911323,0.688355661664393,0.639743110504775,0.549667257844475
"c03",0.630441798941799,0.678952380952381,0.685468915343915,0.655044312169312,0.586390873015873,0.463246693121693,0.357808862433863,0.300009920634921
"c04",0.370779816513762,0.469310515172901,0.587753705010586,0.643044460127029,0.645102328863797,0.603443895553987,0.529776287932251,0.426588567395907
"c05",0.601496860282575,0.594025117739403,0.543080847723705,0.492963108320251,0.487526687598116,0.520105180533752,0.578244897959184,0.583727629513344
"c06",0.249297446514838,0.290469289164941,0.37032436162871,0.492138716356108,0.606167701863354,0.667266390614217,0.682235334713596,0.629412698412698
"c07",0.514527890056588,0.574725141471301,0.557293451899757,0.497780113177041,0.408623282134196,0.333007275666936,0.277243330638642,0.245457558609539
"c08",0.283241592312972,0.338461908030199,0.40317707618394,0.455531228551819,0.492243651338367,0.482958819492107,0.449437886067261,0.382754289636239
"c09",0.244181240063593,0.289011128775835,0.336134340222575,0.368266295707472,0.374019077901431,0.329807631160572,0.280408585055644,0.236540540540541
"c10",0.179236276849642,0.18854415274463,0.215397374701671,0.25908830548926,0.318280429594272,0.395930787589499,0.48363245823389,0.495921241050119
"c11",0.49148326055313,0.484671033478894,0.406592430858806,0.325510917030568,0.244583697234352,0.201918486171761,0.182468704512373,0.193181950509461
"c12",0.133007556675063,0.145629722921914,0.169458438287154,0.202643996641478,0.237710327455919,0.271561712846348,0.289492863140218,0.278211586901763
"c13",0.252955198647506,0.266060016906171,0.255470836855452,0.231143702451395,0.198601859678783,0.16716652578191,0.149364327979713,0.135466610312764
"c14",0.108537560303239,0.11618194348725,0.124593383873191,0.128286009648518,0.129220537560303,0.126475534114404,0.123742246726396,0.120145416953825
