"","Estación","indicativo","latitud","provincia","altitud","nombre","indsinop","longitud","grados_lat","minutos_lat","segundos_lat","orient_lat","latitud_dec","grados_lon","minutos_lon","segundos_lon","orient_lon","longitud_dec"
"1","A Coruña","1387","432157N","A CORUÑA","58","A CORUÑA","08001","082517W",43,21,57,"N",43.3658333333333,8,25,17,"W",-8.42138888888889
"2","Albacete","8178D","390020N","ALBACETE","676","ALBACETE","08279","015144W",39,0,20,"N",39.0055555555556,1,51,44,"W",-1.86222222222222
"3","Almería Aeropuerto","6325O","365047N","ALMERIA","21","ALMERÍA AEROPUERTO","08487","022125W",36,50,47,"N",36.8463888888889,2,21,25,"W",-2.35694444444444
"4","Badajoz","4478G","385360N",NA,"175",NA,NA,"070046W",38,53,60,"N",38.9,7,0,46,"W",-7.01277777777778
"5","Barcelona","0201D","412326N","BARCELONA","6","BARCELONA","08180","021200E",41,23,26,"N",41.3905555555556,2,12,0,"E",2.2
"6","Cáceres","3469A","392817N","CACERES","394","CÁCERES","08261","062020W",39,28,17,"N",39.4713888888889,6,20,20,"W",-6.33888888888889
"7","Cádiz","5973","362959N","CADIZ","2","CÁDIZ","08452","061528W",36,29,59,"N",36.4997222222222,6,15,28,"W",-6.25777777777778
"8","Ciudad Real","4121","385916N","CIUDAD REAL","627","CIUDAD REAL, INSTITUTO","","035545W",38,59,16,"N",38.9877777777778,3,55,45,"W",-3.92916666666667
"9","Ciudad Real","4121","385921N","CIUDAD REAL","628","CIUDAD REAL","08348","035513W",38,59,21,"N",38.9891666666667,3,55,13,"W",-3.92027777777778
"10","Córdoba Aeropuerto","5402","375056N","CORDOBA","90","CÓRDOBA AEROPUERTO","08410","045048W",37,50,56,"N",37.8488888888889,4,50,48,"W",-4.84666666666667
"11","Granada","5514","370814N","GRANADA","687","GRANADA BASE AÉREA","08420","033753W",37,8,14,"N",37.1372222222222,3,37,53,"W",-3.63138888888889
"12","Huelva","4642E","371642N","HUELVA","19","HUELVA, RONDA ESTE","08383","065442W",37,16,42,"N",37.2783333333333,6,54,42,"W",-6.91166666666667
"13","Izaña","C430E","281832N","STA. CRUZ DE TENERIFE","2371","IZAÑA","60010","162958W",28,18,32,"N",28.3088888888889,16,29,58,"W",-16.4994444444444
"14","León","2661","423518N","LEON","912","LEÓN, VIRGEN DEL CAMINO","08055","053904W",42,35,18,"N",42.5883333333333,5,39,4,"W",-5.65111111111111
"15","Lleida","9771C","413734N","LLEIDA","185","LLEIDA","08171","003553E",41,37,34,"N",41.6261111111111,0,35,53,"E",0.598055555555556
"16","Logroño","9170","422708N","LA RIOJA","353","LOGROÑO AEROPUERTO","08084","021952W",42,27,8,"N",42.4522222222222,2,19,52,"W",-2.33111111111111
"17","Madrid, Ciudad Universitaria","3194U","402706N","MADRID","664","MADRID, CIUDAD UNIVERSITARIA","08220","034327W",40,27,6,"N",40.4516666666667,3,43,27,"W",-3.72416666666667
"18","Málaga","6156X","364304N","MALAGA","54","MÁLAGA, CENTRO METEOROLÓGICO","08481","042854W",36,43,4,"N",36.7177777777778,4,28,54,"W",-4.48166666666667
"19","Maspalomas","C639M","274529N",NA,"45",NA,NA,"153432W",27,45,29,"N",27.7647222222222,15,34,32,"W",-15.5755555555556
"20","Moguer (El Arenosillo)","5860E","370553N","HUELVA","41","MOGUER, EL ARENOSILLO","08384","064417W",37,5,53,"N",37.0980555555556,6,44,17,"W",-6.73805555555556
"21","Murcia","7178I","380007N","MURCIA","61","MURCIA","08430","011015W",38,0,7,"N",38.0019444444444,1,10,15,"W",-1.17083333333333
"22","Oviedo","1249X","432112N","ASTURIAS","336","OVIEDO","08015","055227W",43,21,12,"N",43.3533333333333,5,52,27,"W",-5.87416666666667
"23","Palma de Mallorca","B228","393312N","ILLES BALEARS","3","PALMA, PUERTO","08301","023731E",39,33,12,"N",39.5533333333333,2,37,31,"E",2.62527777777778
"24","Ponferrada","1549","423350N","LEON","534","PONFERRADA","08053","063600W",42,33,50,"N",42.5638888888889,6,36,0,"W",-6.6
"25","Salamanca","2867","405734N","SALAMANCA","790","SALAMANCA AEROPUERTO","08202","052954W",40,57,34,"N",40.9594444444445,5,29,54,"W",-5.49833333333333
"26","San Sebastián","1024E","431823N","GIPUZKOA","251","DONOSTIA/SAN SEBASTIÁN, IGUELDO","08027","020228W",43,18,23,"N",43.3063888888889,2,2,28,"W",-2.04111111111111
"27","Santander","1111","432928N","CANTABRIA","52","SANTANDER","08023","034802W",43,29,28,"N",43.4911111111111,3,48,2,"W",-3.80055555555556
"28","Soria","2030","414630N","SORIA","1082","SORIA","08148","022859W",41,46,30,"N",41.775,2,28,59,"W",-2.48305555555556
"29","Sta. Cruz de Tenerife","C449C","282748N","STA. CRUZ DE TENERIFE","35","STA.CRUZ DE TENERIFE","60020","161519W",28,27,48,"N",28.4633333333333,16,15,19,"W",-16.2552777777778
"30","Teruel","8368U","402102N","TERUEL","900","TERUEL","08235","010727W",40,21,2,"N",40.3505555555556,1,7,27,"W",-1.12416666666667
"31","Toledo","3260B","395305N","TOLEDO","515","TOLEDO","08272","040243W",39,53,5,"N",39.8847222222222,4,2,43,"W",-4.04527777777778
"32","Tortosa","9981A","404913N","TARRAGONA","50","ESTACIÓN DE TORTOSA (ROQUETES)","08238","002936E",40,49,13,"N",40.8202777777778,0,29,36,"E",0.493333333333333
"33","Valencia Aeropuerto","8414A","392906N","VALENCIA","56","VALENCIA AEROPUERTO","08284","002829W",39,29,6,"N",39.485,0,28,29,"W",-0.474722222222222
"34","Valladolid","2422","413827N","VALLADOLID","735","VALLADOLID","08141","044516W",41,38,27,"N",41.6408333333333,4,45,16,"W",-4.75444444444444
"35","Zaragoza","9443V","413800N",NA,"258",NA,NA,"005256W",41,38,0,"N",41.6333333333333,0,52,56,"W",-0.882222222222222
